"Ident_8","Kmp_Rsys",Rijstrook,"X_coord_EPSG_31370","Y_coord_EPSG_31370","beschrijvende_id","breedtegraad_EPSG_4326","lengtegraad_EPSG_4326","lve_nr","unieke_id","volledige_naam"
A0210001,"20.202",R11,"173386.2537","214903.3217",S292L20,"51.24356961","4.703655694","284.0",2330,"Complex Zoersel"
A0210761,"0.544",R10,"172843.1267","214907.7317",H105L10,"51.24363105","4.695878336","284.0",2328,"Complex Zoersel"
A0210761,"0.544",B09,"172843.1267","214907.7317",H105L0,"51.24363105","4.695878336","284.0",2327,"Complex Zoersel"
A0210721,"0.087",R10,"173059.7199","214954.5147",H107L10,"51.24404291","4.698982963","284.0",2326,"Complex Zoersel"
A0210002,"19.743",R11,"172926.0413","214887.4081",H191L20,"51.24344508","4.697064394","284.0",2325,"Complex Zoersel"
A0210002,"19.743",R10,"172926.0413","214887.4081",H191L10,"51.24344508","4.697064394","284.0",2324,"Complex Zoersel"
A0122821,"0.109",R10,"146372.6479","228437.6279",S207L10,"51.36568188","4.31667838","127.0",2323,"grens - Zandvliet - Antwerpsebaan"
A0120002,"52.754",R11,"146218.7915","228502.9371",S205L10,"51.36626788","4.314468654","127.0",2322,"grens - Zandvliet - Antwerpsebaan"
A0120002,"52.754",R10,"146218.7915","228502.9371",S291L20,"51.36626788","4.314468654","127.0",2321,"grens - Zandvliet - Antwerpsebaan"
R0001851,"0.022",R11,"156745.4051","173051.1943",H208L20,"50.86780062","4.464575596","252.0",3652,"Knooppunt St-Stevens-Woluwe West"
A0021721,"0.045",R10,"172302.9819","175913.8323",S107L20,"50.89314399","4.685754384","225.0",3653,"complex nr 17 Herent"
A0140001,"97.595",R10,"146663.2377","210188.3199",S192L10,"51.20165595","4.321016713","116.0",3654,"complex Kruibeke (16)"
A0140001,"97.595",R11,"146663.2377","210188.3199",S192L20,"51.20165595","4.321016713","116.0",3655,"complex Kruibeke (16)"
A0140001,"97.595",R12,"146663.2377","210188.3199",S192L30,"51.20165595","4.321016713","116.0",3656,"complex Kruibeke (16)"
A0020511,"0.008",R10,"220874.6219","189663.6135",H108L10,"51.01283493","5.378727651","54.0",3657,"complex Houthalen-Helchteren"
A0020551,"0.198",R10,"220719.3067","189668.0993",H106L20,"51.01289424","5.376515528","54.0",3658,"complex Houthalen-Helchteren"
A0210001,"20.202",R10,"173386.2537","214903.3217",S292L10,"51.24356961","4.703655694","284.0",2329,"Complex Zoersel"
A0140001,"99.175",R10,"147962.8215","211082.1067",H292L10,"51.20969565","4.339605446","189.0",3659,"Complex nr 17 Zwijndrecht Oost"
A0030001,"19.818",R11,"170595.3979","171369.7783",S222L20,"50.85235893","4.661229045","237.0",3670,"Snede Oud Heverlee 3"
